"measure_date","measure_hour","measure_min","t_pov","far","rh","t","winddir","wind"
2023-09-01,11,30,19,0.512,76.6,20,422,0.0
2023-09-01,11,35,19,0.512,74.4,20,383,0.0
2023-09-01,11,40,19,0.513,74.3,21.0,361,60.0
2023-09-01,11,45,19,0.512,71.9,21,667,0.0
2023-09-01,11,50,19,0.512,71.7,21,294,0.0
2023-09-01,12,0,19,0.512,72.5,21,543,73.0
2023-09-01,12,5,19,0.512,71.4,21.0,303,0.0
2023-09-01,13,0,20.0,0.512,73.2,21,370,0.0
2023-09-01,14,0,20,0.513,63.2,22,556,190.0
2023-09-01,15,0,20,0.512,75.1,20,487,0.0
2023-09-01,16,0,20,0.513,71.3,21,202,0.0
2023-09-01,19,0,19,0.512,79.3,19,402,0.0
2023-09-01,19,5,19,0.512,79.9,19,431,0.0
2023-09-01,19,10,19,0.512,79.2,19,431,0.0
2023-09-01,19,15,19,0.512,79.5,19,411,0.0
2023-09-01,19,20,19,0.512,79.4,19,346,0.0
2023-09-01,19,25,19,0.512,80.5,19,346,0.0
2023-09-01,19,30,19,0.512,80.7,19,276,0.0
2023-09-01,19,35,19,0.512,81.0,19,266,0.0
2023-09-01,19,40,19,0.512,82.0,19,266,0.0
2023-09-01,19,45,19,0.512,81.1,19,337,0.0
2023-09-01,19,50,19,0.512,81.1,19,337,0.0
2023-09-01,20,0,19,0.512,81.8,19,337,0.0
2023-09-01,20,5,19,0.512,82.3,19.0,337,0.0
2023-09-01,20,10,19,0.512,82.6,18,336,0.0
2023-09-01,20,15,19,0.512,83.8,18,337,0.0
2023-09-01,20,20,19,0.512,85.7,18,337,0.0
2023-09-01,20,25,19,0.512,84.5,18,337,0.0
2023-09-01,20,30,19,0.512,82.7,18,336,0.0
2023-09-01,20,35,19,0.512,82.9,18,336,0.0
2023-09-01,20,40,19,0.512,82.8,18,337,0.0
2023-09-01,20,45,19,0.512,83.2,18,336,0.0
2023-09-01,20,50,19,0.512,84.2,18,336,0.0
2023-09-01,21,0,19,0.512,84.2,18,337,0.0
2023-09-01,22,0,18,0.512,81.0,17,416,0.0
2023-09-02,2,0,18,0.512,83.3,16,356,0.0
2023-09-02,6,0,18.0,0.512,96.9,15,357,0.0
2023-09-02,10,0,18,0.513,76.7,17,978,71.0
2023-09-02,11,0,18,0.514,65.8,20,800,0.0
2023-09-02,12,0,18,0.514,58.3,20,791,77.0
2023-09-02,13,0,19,0.512,50.7,21,721,0.0
2023-09-02,14,0,18,0.514,44.6,21,703,286.0
2023-09-02,15,0,19,0.514,47.4,22,385,61.0
2023-09-02,16,0,19,0.512,53.5,21.0,750,57.0
2023-09-02,17,0,18,0.512,55.3,20,227,0.0
2023-09-02,18,0,18,0.512,56.7,20,807,122.0
2023-09-02,19,0,18,0.512,58.9,20.0,567,109.0
2023-09-02,20,0,18,0.512,62.2,19,501,0.0
2023-09-02,20,5,18,0.512,62.7,19,861,61.0
2023-09-02,20,10,18,0.512,63.0,19,639,109.0
2023-09-02,20,15,18,0.512,63.9,19,646,108.0
2023-09-02,20,20,18,0.512,63.1,19,771,0.0
2023-09-02,20,25,18,0.512,63.1,19,161,0.0
2023-09-02,20,30,18,0.512,62.1,19,161,0.0
2023-09-02,20,35,18.0,0.512,62.3,19,720,101.0
2023-09-02,20,40,18.0,0.512,61.9,19.0,886,22.0
2023-09-02,20,45,17,0.512,62.4,19.0,629,0.0
2023-09-02,20,50,17,0.512,62.5,18,791,87.0
2023-09-02,22,0,17,0.512,70.9,17.0,760,0.0
2023-09-02,23,0,17,0.512,74.5,16,739,0.0
2023-09-03,2,0,16,0.512,89.6,13,429,0.0
2023-09-03,9,0,16,0.513,82.2,15,799,30.0
2023-09-03,10,0,17,0.512,77.6,16,795,40.0
2023-09-03,11,0,17,0.514,69.4,18,785,126.0
2023-09-03,12,0,18,0.512,73.9,18,522,54.0
2023-09-03,13,0,18,0.512,74.2,18.0,107,0.0
2023-09-03,14,0,18,0.513,76.3,18.0,751,0.0
2023-09-03,15,0,19,0.513,74.3,18,206,69.0
2023-09-03,16,0,19,0.514,70.5,19.0,252,26.0
2023-09-03,17,0,18,0.512,72.2,18,463,0.0
2023-09-03,18,0,18,0.512,74.8,17,399,0.0
2023-09-03,19,0,17,0.512,72.6,17,437,28.0
2023-09-03,20,0,17,0.512,75.4,16,392,0.0
2023-09-03,20,5,17,0.512,75.4,16,413,0.0
2023-09-03,20,10,17,0.512,76.3,16,441,0.0
2023-09-03,20,15,17,0.512,77.7,16,396,0.0
2023-09-03,20,20,17,0.512,78.6,16.0,397,0.0
2023-09-03,20,25,17,0.512,79.3,15,398,0.0
2023-09-03,20,30,17,0.512,79.9,15,397,0.0
2023-09-03,20,35,17,0.512,80.9,15,398,0.0
2023-09-03,20,40,17,0.512,81.3,15,388,0.0
2023-09-03,20,45,16,0.512,82.0,15,388,0.0
2023-09-03,20,50,17.0,0.512,82.3,15,388,0.0
2023-09-03,21,0,16,0.512,83.8,14,388,0.0
2023-09-03,23,0,16,0.512,92.1,13,384,0.0
2023-09-04,6,0,14,0.512,97.2,11,455,0.0
2023-09-04,9,0,16,0.513,77.2,16,237,0.0
2023-09-04,10,0,16,0.512,60.9,18.0,213,49.0
2023-09-04,11,0,17,0.514,67.6,18,439,74.0
2023-09-04,12,0,17,0.514,64.9,19,576,0.0
2023-09-04,13,0,17,0.512,62.9,19,238,59.0
2023-09-04,14,0,18,0.514,62.2,20,260,143.0
2023-09-04,15,0,18,0.514,57.7,19,982,47.0
2023-09-04,18,0,17,0.512,62.7,17,406,39.0
